gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E118
ENSG00000175130,42,0,44,11,15,148.286
ENSG00000082641,58,0,61,55,20,148.277
ENSG00000185269,86,0,75,85,16,148.154
ENSG00000104760,98,0,75,100,66,148.02
ENSG00000136240,48,0,38,29,13,148.002
ENSG00000144785,27,0,27,26,10,147.616
ENSG00000056736,77,0,69,70,26,147.567
ENSG00000108960,63,0,34,62,19,147.485
ENSG00000149806,33,0,27,28,15,147.098
ENSG00000106682,48,0,26,36,12,147.074
ENSG00000170421,68,0,65,70,15,146.498
ENSG00000102934,37,0,54,42,11,145.91
ENSG00000110321,37,0,34,26,24,145.711
ENSG00000080824,32,0,24,11,15,145.089
ENSG00000122884,43,0,36,33,21,145.012
ENSG00000168374,59,0,47,49,19,144.674
ENSG00000198848,11,0,15,15,7,144.674
ENSG00000162736,43,0,21,25,16,144.62
ENSG00000130332,48,0,63,29,18,144.435
ENSG00000169696,33,19,29,37,4,144.416
ENSG00000253368,76,0,75,70,22,143.617
ENSG00000101337,27,0,16,18,41,143.505
ENSG00000141101,22,0,30,23,10,142.925
ENSG00000169564,51,0,42,67,26,142.824
ENSG00000257411,28,0,24,25,12,142.469
ENSG00000156976,50,0,32,27,24,142.433
ENSG00000152291,53,0,48,54,27,142.422
ENSG00000105398,35,0,21,39,3,142.221
ENSG00000254999,23,0,19,17,12,142.002
ENSG00000251357,22,0,16,10,7,141.76
ENSG00000184640,58,0,61,55,20,141.754
ENSG00000177106,48,0,39,28,0,141.321
ENSG00000165678,30,0,20,22,12,141.132
ENSG00000114378,9,4,0,17,0,140.917
ENSG00000108679,39,0,37,21,3,140.867
ENSG00000100528,38,0,16,33,7,140.67
ENSG00000167397,20,8,30,23,16,140.497
ENSG00000171564,0,0,0,18,0,140.491
ENSG00000186910,46,10,42,72,11,140.445
ENSG00000125149,55,0,47,61,13,140.167
ENSG00000123983,60,0,46,48,30,139.613
ENSG00000100934,23,0,12,11,6,139.603
ENSG00000259112,44,0,42,59,6,139.389
ENSG00000090339,35,0,47,21,0,138.933
ENSG00000179761,50,0,50,39,26,138.291
ENSG00000138413,44,0,32,26,13,138.112
ENSG00000058262,46,0,28,31,15,138.017
ENSG00000108561,0,0,0,0,0,137.704
ENSG00000013306,26,0,41,15,6,137.474
ENSG00000131473,19,0,15,18,5,137.202
ENSG00000130726,37,0,35,25,16,137.081
ENSG00000178035,19,0,17,19,3,136.877
ENSG00000101365,20,0,21,18,26,136.818
ENSG00000059573,30,4,20,23,10,136.626
ENSG00000171314,43,0,35,31,14,136.607
ENSG00000004779,41,0,30,29,10,136.382
ENSG00000204128,48,0,30,66,9,136.197
ENSG00000111843,54,17,41,42,12,136.012
ENSG00000065978,56,0,38,25,13,135.854
ENSG00000132341,34,0,27,23,5,135.288
ENSG00000088832,39,0,44,16,30,135.007
ENSG00000105677,27,0,29,22,15,134.948
ENSG00000171490,47,0,38,36,19,134.734
ENSG00000230989,17,0,26,14,21,134.563
ENSG00000142484,41,0,37,48,7,134.549
ENSG00000112414,72,0,37,87,14,134.282
ENSG00000079385,0,12,0,6,20,133.876
ENSG00000112473,0,0,0,0,0,133.585
ENSG00000099795,24,0,23,11,10,133.494
ENSG00000111775,22,0,24,18,8,133.363
ENSG00000110492,37,0,41,18,4,133.27
ENSG00000163468,64,0,66,57,20,132.131
ENSG00000169562,28,0,36,44,9,131.788
ENSG00000176171,59,0,63,33,19,131.677
ENSG00000128595,41,0,18,19,31,131.524
ENSG00000103091,61,0,50,51,15,131.291
ENSG00000065361,62,0,55,58,25,131.268
ENSG00000117601,25,0,26,20,0,131.211
ENSG00000089351,51,0,55,53,31,131.07
ENSG00000171867,29,0,28,13,26,130.843
ENSG00000109046,40,0,38,33,10,130.118
ENSG00000167460,25,0,27,11,3,130.016
ENSG00000092841,49,0,48,37,7,129.628
ENSG00000112378,35,0,30,23,16,129.453
ENSG00000107223,29,2,27,16,6,129.445
ENSG00000074695,34,0,17,14,9,129.379
ENSG00000125629,80,0,43,82,26,129.326
ENSG00000141580,37,0,47,20,16,129.15
ENSG00000213983,46,0,52,12,19,128.969
ENSG00000125991,28,0,30,17,5,128.871
ENSG00000188060,37,0,34,44,6,128.794
ENSG00000185201,31,0,30,9,0,128.398
ENSG00000221978,51,0,45,42,12,127.774
ENSG00000205609,8,0,2,3,0,127.182
