histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K4me3-H3K27me3,SVM_Linear,75.52,1.1946,0.8324,0.0133,74.04,1.3428,0.8241,0.0206
H3K4me3-H3K9ac,RandomForest,78.46,0.6656,0.8679,0.012,77.68,1.0232,0.8636,0.0174
H3K4me3-H3K9ac,LogisticRegression,76.96,0.9397,0.8387,0.0127,75.94,1.3795,0.8337,0.0183
H3K4me3-H3K9ac,SVM_Linear,76.94,0.929,0.8377,0.0122,75.82,1.1563,0.8353,0.0184
H3K4me3-H3K9ac,DirectRanker,76.64,1.3957,0.862,0.011,75.4,1.6941,0.8477,0.0182
H3K4me3-H3K9ac-H3K27ac,RandomForest,78.44,0.9397,0.8701,0.0127,77.8,1.0,0.8666,0.0154
H3K4me3-H3K9ac-H3K27ac,DirectRanker,76.9,0.8426,0.868,0.0084,75.94,1.5307,0.8534,0.0178
H3K4me3-H3K9ac-H3K27ac,LogisticRegression,76.22,1.4307,0.832,0.0151,75.76,0.9711,0.8284,0.0157
H3K4me3-H3K9ac-H3K27ac,SVM_Linear,76.54,1.5726,0.832,0.0149,75.62,1.1032,0.8291,0.0165
H3K4me3-H3K9ac-H3K27ac-H3K27me3,RandomForest,78.84,0.8877,0.8727,0.0109,77.84,1.1524,0.8673,0.0132
H3K4me3-H3K9ac-H3K27ac-H3K27me3,DirectRanker,78.46,0.8444,0.868,0.0084,76.38,1.4043,0.8558,0.0176
H3K4me3-H3K9ac-H3K27ac-H3K27me3,SVM_Linear,75.42,1.9176,0.8309,0.0163,75.08,1.7598,0.8274,0.0186
H3K4me3-H3K9ac-H3K27ac-H3K27me3,LogisticRegression,76.0,1.6808,0.8323,0.0165,74.78,1.6634,0.8278,0.0175
H3K4me3-H3K9ac-H3K27me3,RandomForest,78.32,0.6458,0.8715,0.0104,77.36,1.0714,0.8652,0.0163
H3K4me3-H3K9ac-H3K27me3,DirectRanker,77.76,1.6502,0.868,0.0084,75.64,1.6426,0.8516,0.0168
H3K4me3-H3K9ac-H3K27me3,SVM_Linear,76.42,1.5172,0.8376,0.013,75.24,1.936,0.8325,0.0198
H3K4me3-H3K9ac-H3K27me3,LogisticRegression,76.54,1.4571,0.8387,0.0132,75.1,1.8908,0.8331,0.0193
H3K4me3-H3K9ac-H3K9me3,RandomForest,78.04,1.1546,0.8682,0.0117,77.36,0.9839,0.8635,0.0161
H3K4me3-H3K9ac-H3K9me3,DirectRanker,77.2,0.781,0.864,0.0055,75.62,1.1735,0.8486,0.0178
H3K4me3-H3K9ac-H3K9me3,LogisticRegression,75.94,0.9685,0.8255,0.0158,74.72,1.8939,0.8188,0.0253
H3K4me3-H3K9ac-H3K9me3,SVM_Linear,75.54,1.1415,0.8194,0.0167,74.02,2.7253,0.8122,0.0301
