,gene_id,value_1,y,scores
10090,XLOC_012977,2.61134,2,-6.8742733
10091,XLOC_012978,73.5802,3,-4.85814
10092,XLOC_012979,17.3293,3,-5.2211757
10093,XLOC_012980,23.3344,3,-4.706314
10094,XLOC_012981,0.0,0,-4.706314
10095,XLOC_012982,0.0,0,-5.0483494
10096,XLOC_012983,22.1879,3,-6.9144325
10097,XLOC_012984,10.8958,2,-6.9144325
10098,XLOC_012985,17.5578,3,-3.447281
10099,XLOC_012986,17.5418,3,-5.866463
10100,XLOC_012987,36.0506,3,-5.5135903
10101,XLOC_012988,0.0,0,-6.9799595
10102,XLOC_012989,0.0,0,-6.9799595
10103,XLOC_012990,3.29592,2,-6.8087463
10104,XLOC_012991,2.90369,2,-6.304294
10105,XLOC_012992,54.0277,3,-4.2805333
10106,XLOC_012993,0.123102,1,-6.8605833
10107,XLOC_012994,4.1624,2,-5.6506557
10108,XLOC_012996,3.45239,2,-3.3644738
10109,XLOC_012997,0.739897,1,-6.9799595
10110,XLOC_012998,4.54514,2,-4.911789
10111,XLOC_012999,1.96863,2,-5.4817333
10112,XLOC_013000,5.55829,2,-5.3604093
10113,XLOC_013001,4.73185,2,-5.3604093
10114,XLOC_013002,1.47245,2,-5.790001
10115,XLOC_013003,1.50932,2,-4.640001
10116,XLOC_013004,2.30452,2,-5.019997
10117,XLOC_013005,3.15769,2,-4.6855154
10118,XLOC_013006,5.04497,2,-6.7743845
10119,XLOC_013007,4.98274,2,-6.360976
10120,XLOC_013008,37.8456,3,-5.7937407
10121,XLOC_013009,0.0218374,1,-6.9799595
10122,XLOC_013010,0.127013,1,-6.9799595
10123,XLOC_013011,5.67886,2,-6.9799595
10124,XLOC_013012,20.7608,3,-6.9799595
10125,XLOC_013013,0.893494,1,-6.9799595
10126,XLOC_013014,9.59839,2,-6.3594594
10127,XLOC_013015,441.86,3,-5.4106145
10128,XLOC_013016,31.3292,3,-6.0392656
10129,XLOC_013017,0.110705,1,-6.1484737
10130,XLOC_013018,4.54834,2,-5.467454
10131,XLOC_013019,21.3211,3,-6.9144325
10132,XLOC_013020,13.0547,3,-5.059515
10133,XLOC_013021,5.84351,2,-3.305301
10134,XLOC_013022,47.2408,3,-5.298555
10135,XLOC_013023,0.32237,1,-1.7697386
10136,XLOC_013024,0.139701,1,-6.9799595
10137,XLOC_013025,0.0,0,-6.9799595
10138,XLOC_013026,0.0,0,-6.9799595
10139,XLOC_013027,6.43899,2,-5.234286
10140,XLOC_013028,7.37587,2,-5.3859305
10141,XLOC_013029,0.151452,1,-5.3859305
10142,XLOC_013030,0.0,0,-6.9799595
10143,XLOC_013031,3.09975,2,-5.2302933
10144,XLOC_013032,4.30973,2,-3.5368576
10145,XLOC_013033,0.138095,1,-6.9799595
10146,XLOC_013034,1.34825,2,-6.9799595
10147,XLOC_013035,28.963,3,-5.310817
10148,XLOC_013036,0.234005,1,-5.5145917
10149,XLOC_013037,57.3396,3,-6.5344424
10150,XLOC_013038,0.0,0,-6.9799595
10151,XLOC_013039,1.98213,2,-6.4863896
10152,XLOC_013040,0.0,0,-6.9799595
10153,XLOC_013041,0.0,0,-6.9799595
10154,XLOC_013042,0.0,0,-6.9799595
10155,XLOC_013043,0.0,0,-6.9799595
10156,XLOC_013044,2.98409,2,-4.9304338
10157,XLOC_013045,0.0,0,-6.662729
10158,XLOC_013046,0.014633,0,-6.9799595
10159,XLOC_013049,9.24056,2,-3.3916926
10160,XLOC_013050,8.76368,2,-5.3807306
10161,XLOC_013051,0.0,0,-6.9799595
10162,XLOC_013052,0.0,0,-6.9799595
10163,XLOC_013053,0.0,0,-6.9799595
10164,XLOC_013055,0.0,0,-6.9799595
10165,XLOC_013058,88.4875,3,-6.9799595
10166,XLOC_013059,22.0055,3,-5.508962
10167,XLOC_013060,35.6942,3,-5.904344
10168,XLOC_013061,25.05,3,-5.419288
10169,XLOC_013062,0.18146,1,-6.7018332
10170,XLOC_013063,1.69998,2,-5.0509996
10171,XLOC_013064,0.107004,1,-5.0509996
10172,XLOC_013065,2.76857,2,-6.4139266
10173,XLOC_013066,0.0404362,1,-6.9799595
10174,XLOC_013067,7.01913,2,-5.0624228
10175,XLOC_013068,0.0254098,1,-6.9799595
10176,XLOC_013069,5.30159,2,-3.871342
10177,XLOC_013070,10.4811,2,-3.871342
10178,XLOC_013071,7.12118,2,-5.630543
10179,XLOC_013072,31.2435,3,-6.9799595
10180,XLOC_013073,0.467997,1,-6.9799595
10181,XLOC_013074,63.2181,3,-6.6048827
10182,XLOC_013075,18.6399,3,-6.6048827
10183,XLOC_013076,12.7828,3,-6.6048827
10184,XLOC_013077,17.5661,3,-0.7298165
10185,XLOC_013078,0.245768,1,-0.7298165
10186,XLOC_013079,1.06489,1,-6.7711797
10187,XLOC_013080,32.5446,3,5.6003466
10188,XLOC_013081,0.0,0,-6.9799595
10189,XLOC_013082,45.9497,3,-5.083464
10190,XLOC_013083,3.77784,2,-7.082441
10191,XLOC_013084,0.571642,1,-6.9799595
10192,XLOC_013085,1.51834,2,-5.900863
10193,XLOC_013086,905.258,3,-5.3775587
10194,XLOC_013087,0.0,0,-5.3775587
10195,XLOC_013088,0.0540036,1,-6.9799595
10196,XLOC_013089,22.2662,3,-4.8503237
10197,XLOC_013090,0.03872,1,-6.9799595
10198,XLOC_013091,1.9069,2,-4.8270802
10199,XLOC_013092,3.67181,2,-6.9799595
10200,XLOC_013093,117.876,3,-4.3154817
10201,XLOC_013094,14.0229,3,-6.620075
10202,XLOC_013096,14.747,3,-6.2173567
10203,XLOC_013097,240.895,3,-6.9799595
10204,XLOC_013098,0.0,0,-6.9799595
10205,XLOC_013099,10.7295,2,-6.215267
10206,XLOC_013100,24.8603,3,-5.5869703
10207,XLOC_013101,119.708,3,-6.323158
10208,XLOC_013102,7.4511,2,-7.016914
10209,XLOC_013103,7.33933,2,-7.016914
10210,XLOC_013104,2.0161,2,-5.1444426
10211,XLOC_013105,1.83627,2,-5.548828
10212,XLOC_013106,19.0954,3,-5.3590517
10213,XLOC_013107,15.9171,3,-6.9799595
10214,XLOC_013108,14.7816,3,-5.7005944
10215,XLOC_013109,7.90835,2,-4.35194
10216,XLOC_013110,10.8334,2,-6.0866594
10217,XLOC_013111,0.0105221,0,-6.9799595
10218,XLOC_013112,7.6826,2,-4.1563244
10219,XLOC_013113,10.919,2,-5.826472
10220,XLOC_013114,185.917,3,-5.577034
10221,XLOC_013115,0.081285,1,-6.9799595
10222,XLOC_013116,7.7064,2,-4.319416
10223,XLOC_013117,0.532077,1,-6.9799595
10224,XLOC_013118,4.03327,2,-5.960102
10225,XLOC_013119,0.261291,1,-6.3701115
10226,XLOC_013120,1.81373,2,-4.8454146
10227,XLOC_013121,0.860813,1,-3.0344348
10228,XLOC_013122,1.81068,2,-5.9763613
10229,XLOC_013123,1.76909,2,-6.2258306
10230,XLOC_013124,3.33636,2,-5.521007
10231,XLOC_013125,11.9307,2,-6.4190288
10232,XLOC_013126,1.04538,1,-4.385548
10233,XLOC_013127,2.11577,2,-5.506515
10234,XLOC_013128,0.0176474,1,-6.9799595
10235,XLOC_013129,1.12193,1,-6.9799595
10236,XLOC_013130,0.0422013,1,-5.8159103
10237,XLOC_013131,0.106015,1,-5.8159103
10238,XLOC_013132,0.139393,1,-6.9799595
10239,XLOC_013133,0.0,0,-6.9799595
10240,XLOC_013135,0.104512,1,-6.9799595
10241,XLOC_013136,0.0688083,1,-6.9799595
10242,XLOC_013137,32.5265,3,-6.9799595
10243,XLOC_013139,0.442108,1,-6.9799595
10244,XLOC_013140,0.60811,1,-6.9799595
10245,XLOC_013141,0.0285012,1,-6.9799595
10246,XLOC_013142,6.95332,2,-6.9799595
10247,XLOC_013145,0.0,0,-6.9799595
10248,XLOC_013146,8.30844,2,-6.9799595
