,gene_id,value_1,y,scores
142,XLOC_000167,0.0,0,-6.970554
143,XLOC_000168,2.41063,1,-5.4274774
144,XLOC_000169,2.57017,1,-5.50168
145,XLOC_000170,4.32737,1,-6.0221457
146,XLOC_000171,2.66844,1,-5.1901655
147,XLOC_000172,1.05183,0,-6.7090607
148,XLOC_000173,0.0323338,0,-6.970554
149,XLOC_000174,0.0,0,-6.970554
150,XLOC_000175,0.0,0,-6.970554
151,XLOC_000177,134.521,1,-6.3726983
152,XLOC_000178,5.05657,1,-1.942182
153,XLOC_000179,0.0,0,-6.970554
154,XLOC_000180,0.0,0,-6.970554
155,XLOC_000181,0.0,0,-6.970554
156,XLOC_000182,0.0,0,-6.970554
157,XLOC_000183,0.073954,0,-6.970554
158,XLOC_000184,41.8192,1,-1.513704
159,XLOC_000185,0.0,0,-1.513704
160,XLOC_000186,1.00219,0,-4.2675824
161,XLOC_000187,0.791812,0,-5.082561
162,XLOC_000188,1.55233,1,-5.082561
163,XLOC_000189,0.0471918,0,-6.970554
164,XLOC_000190,915.771,1,-3.5746396
165,XLOC_000191,10.6051,1,-6.9310718
166,XLOC_000192,22.9224,1,-3.5192423
167,XLOC_000193,46.7782,1,-4.6270504
168,XLOC_000194,58.0344,1,-5.111218
169,XLOC_000197,0.0419583,0,-6.970554
170,XLOC_000198,2.92734,1,-6.7054825
171,XLOC_000199,7.57905,1,-5.2811875
172,XLOC_000200,3.23312,1,-5.7545133
173,XLOC_000201,16.651,1,-6.970554
174,XLOC_000202,90.357,1,-6.5063004
175,XLOC_000204,0.16082,0,-4.2246547
176,XLOC_000205,37.1892,1,-2.7545462
177,XLOC_000206,7.06927,1,-3.6780624
178,XLOC_000207,4.55354,1,-5.3223333
179,XLOC_000209,0.0558323,0,-6.970554
180,XLOC_000210,20.3949,1,-5.9038205
181,XLOC_000211,0.121057,0,-6.970554
182,XLOC_000212,2.1687,1,-4.906709
183,XLOC_000213,0.0,0,-6.970554
184,XLOC_000214,39.5829,1,-4.419097
185,XLOC_000215,2.02097,1,-6.534683
186,XLOC_000216,0.0,0,-6.970554
187,XLOC_000218,30.5976,1,-1.3719156
188,XLOC_000219,0.220951,0,-6.970554
189,XLOC_000220,0.899801,0,-6.970554
190,XLOC_000221,127.128,1,-4.337561
191,XLOC_000222,13.791,1,-1.3800831
192,XLOC_000223,0.0,0,-1.3800831
193,XLOC_000224,9.42113,1,-4.8036275
194,XLOC_000225,6.95536,1,-4.6900797
195,XLOC_000226,8.0957,1,-4.468639
196,XLOC_000227,6.90897,1,-3.373207
197,XLOC_000228,98.6757,1,-6.267917
198,XLOC_000229,52.4294,1,-4.9686646
199,XLOC_000230,5.35409,1,-6.233475
200,XLOC_000231,14.298,1,-5.021681
201,XLOC_000232,0.807879,0,-5.021681
202,XLOC_000233,9.33991,1,-4.2136006
203,XLOC_000234,2.2827,1,-6.6378245
204,XLOC_000235,0.938493,0,-5.2286115
205,XLOC_000236,4.74741,1,-3.4392998
206,XLOC_000237,10.7571,1,-5.7448745
207,XLOC_000238,25.3452,1,-5.1437106
208,XLOC_000239,2.85794,1,-5.1437106
209,XLOC_000240,0.304523,0,-6.003041
210,XLOC_000241,5.38893,1,-6.329887
