Pytorch Conv1D
Epoch 106, Time:107.6141893863678,  Train Loss: 11753.8040, Train MAE: 18.9091, Test Loss: 18792.0539, Test MAE: 17.2075
Epoch 107, Time:107.40572953224182,  Train Loss: 9607.3486, Train MAE: 18.1484, Test Loss: 11706.9088, Test MAE: 19.6781
Epoch 108, Time:107.41234397888184,  Train Loss: 10229.4346, Train MAE: 19.8212, Test Loss: 11202.7075, Test MAE: 16.8860
Epoch 109, Time:107.42537236213684,  Train Loss: 9042.0936, Train MAE: 17.5759, Test Loss: 13403.4408, Test MAE: 19.3252
Epoch 110, Time:107.4273579120636,  Train Loss: 9599.7474, Train MAE: 18.4000, Test Loss: 13881.7572, Test MAE: 16.8170
Epoch 111, Time:107.43264985084534,  Train Loss: 11929.2159, Train MAE: 17.9932, Test Loss: 14576.0581, Test MAE: 16.8059
Epoch 112, Time:107.4174964427948,  Train Loss: 8901.0692, Train MAE: 18.2513, Test Loss: 13332.6652, Test MAE: 17.5114
Epoch 113, Time:107.44866585731506,  Train Loss: 9850.8250, Train MAE: 17.3074, Test Loss: 15251.6004, Test MAE: 17.3997
Epoch 114, Time:107.44076228141785,  Train Loss: 10518.8078, Train MAE: 19.9191, Test Loss: 30365.8793, Test MAE: 19.1265
Epoch 115, Time:107.44370532035828,  Train Loss: 9233.3159, Train MAE: 18.2262, Test Loss: 12989.0023, Test MAE: 16.8190
Epoch 116, Time:107.50186896324158,  Train Loss: 9414.8858, Train MAE: 17.4743, Test Loss: 10144.3972, Test MAE: 17.8641
Saved best model at epoch 116 with test loss: 10144.3972
Epoch 117, Time:107.40200662612915,  Train Loss: 12673.4236, Train MAE: 19.1962, Test Loss: 11514.5167, Test MAE: 21.4050
Epoch 118, Time:107.59619140625,  Train Loss: 10547.4822, Train MAE: 17.7372, Test Loss: 10947.7371, Test MAE: 17.8448
Epoch 119, Time:107.6683759689331,  Train Loss: 10443.4569, Train MAE: 17.8765, Test Loss: 12433.9833, Test MAE: 16.2786
Epoch 120, Time:107.66997909545898,  Train Loss: 11592.7029, Train MAE: 18.4569, Test Loss: 12252.1835, Test MAE: 33.5305
Epoch 121, Time:107.66749858856201,  Train Loss: 8959.0127, Train MAE: 20.0836, Test Loss: 9983.1922, Test MAE: 17.0558
Saved best model at epoch 121 with test loss: 9983.1922
Epoch 122, Time:107.4160053730011,  Train Loss: 11809.4720, Train MAE: 20.5946, Test Loss: 10341.8909, Test MAE: 21.0762
Epoch 123, Time:107.40012001991272,  Train Loss: 10428.4850, Train MAE: 19.6546, Test Loss: 11688.9194, Test MAE: 23.5769
Epoch 124, Time:107.39261484146118,  Train Loss: 9876.1500, Train MAE: 19.3282, Test Loss: 28448.5910, Test MAE: 21.2538
Epoch 125, Time:107.45657539367676,  Train Loss: 9713.6066, Train MAE: 18.6256, Test Loss: 19853.7921, Test MAE: 18.0675
Epoch 126, Time:107.4513611793518,  Train Loss: 9493.0270, Train MAE: 20.2831, Test Loss: 12356.5741, Test MAE: 16.4295
Epoch 127, Time:107.42072415351868,  Train Loss: 10023.2908, Train MAE: 18.6400, Test Loss: 11745.5187, Test MAE: 16.6060
Epoch 128, Time:107.41749882698059,  Train Loss: 10994.1311, Train MAE: 18.9794, Test Loss: 13358.4439, Test MAE: 21.3957
Epoch 129, Time:107.68947052955627,  Train Loss: 8419.0558, Train MAE: 17.2745, Test Loss: 10429.5080, Test MAE: 19.4179
Epoch 130, Time:107.67189526557922,  Train Loss: 10240.9980, Train MAE: 18.7505, Test Loss: 21113.6005, Test MAE: 16.8653
Epoch 131, Time:107.66609621047974,  Train Loss: 9751.0658, Train MAE: 19.4485, Test Loss: 10275.0212, Test MAE: 17.1573
Epoch 132, Time:107.66395735740662,  Train Loss: 11047.6370, Train MAE: 18.8239, Test Loss: 11226.9831, Test MAE: 17.8317
Epoch 133, Time:107.65733981132507,  Train Loss: 11091.3329, Train MAE: 18.4041, Test Loss: 14360.5966, Test MAE: 18.7294
Epoch 134, Time:107.65649390220642,  Train Loss: 8559.8747, Train MAE: 16.7333, Test Loss: 10208.1782, Test MAE: 16.8606
Epoch 135, Time:107.66038990020752,  Train Loss: 11282.4675, Train MAE: 18.8362, Test Loss: 15661.4359, Test MAE: 16.7958
Epoch 136, Time:107.65406632423401,  Train Loss: 10431.8061, Train MAE: 18.4298, Test Loss: 16906.9951, Test MAE: 16.5204
Epoch 137, Time:107.57748937606812,  Train Loss: 10444.7305, Train MAE: 18.5490, Test Loss: 14333.8733, Test MAE: 17.1330
Epoch 138, Time:107.38569951057434,  Train Loss: 10283.0059, Train MAE: 17.9058, Test Loss: 12987.9076, Test MAE: 18.5855
Epoch 139, Time:107.3903477191925,  Train Loss: 10485.5601, Train MAE: 17.5305, Test Loss: 13384.4334, Test MAE: 15.6158
Epoch 140, Time:107.5000672340393,  Train Loss: 9425.6027, Train MAE: 16.4408, Test Loss: 10487.9588, Test MAE: 21.8638
Epoch 141, Time:107.66779804229736,  Train Loss: 9992.2645, Train MAE: 17.6834, Test Loss: 12255.4576, Test MAE: 17.4944
Epoch 142, Time:107.67691230773926,  Train Loss: 9706.8407, Train MAE: 16.6693, Test Loss: 11678.5460, Test MAE: 15.2594
Epoch 143, Time:107.66619849205017,  Train Loss: 8763.0912, Train MAE: 15.9608, Test Loss: 20434.4832, Test MAE: 19.4210
Epoch 144, Time:107.66985297203064,  Train Loss: 12620.3796, Train MAE: 17.9417, Test Loss: 17657.8011, Test MAE: 16.2275
Epoch 145, Time:107.68127155303955,  Train Loss: 8158.2856, Train MAE: 16.4366, Test Loss: 14358.1932, Test MAE: 16.5095
Epoch 146, Time:107.67652988433838,  Train Loss: 10327.2765, Train MAE: 17.5661, Test Loss: 17854.9695, Test MAE: 17.3375
Epoch 147, Time:107.67353010177612,  Train Loss: 9845.8836, Train MAE: 18.0033, Test Loss: 17503.3254, Test MAE: 16.2244
