model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
LogisticRegression,1011,H3K9ac-H3K9me3-H3K27me3,,66.6,0.7222,65.6,0.7074,0.6601,0.6549,0.6116,0.6325,0.735
LogisticRegression,123,H3K9ac-H3K9me3-H3K27me3,,65.9,0.7126,68.1,0.738,0.6814,0.6823,0.6328,0.6566,0.765
LogisticRegression,42,H3K9ac-H3K9me3-H3K27me3,,68.0,0.7386,70.6,0.7497,0.7114,0.6921,0.6624,0.6769,0.739
LogisticRegression,456,H3K9ac-H3K9me3-H3K27me3,,67.0,0.7355,62.1,0.6765,0.6528,0.6066,0.5798,0.5929,0.752
LogisticRegression,789,H3K9ac-H3K9me3-H3K27me3,,65.4,0.7025,68.5,0.7313,0.6831,0.6833,0.6331,0.6572,0.727
LogisticRegression,1011,H3K9ac-H3K27ac-H3K27me3,,67.4,0.7256,66.7,0.7154,0.6665,0.6617,0.6384,0.6498,0.745
LogisticRegression,123,H3K9ac-H3K27ac-H3K27me3,,66.5,0.7096,68.7,0.7511,0.7032,0.6857,0.6473,0.666,0.765
LogisticRegression,42,H3K9ac-H3K27ac-H3K27me3,,68.3,0.7535,68.9,0.7386,0.7038,0.6689,0.6559,0.6623,0.747
LogisticRegression,456,H3K9ac-H3K27ac-H3K27me3,,68.2,0.7473,64.8,0.6908,0.6498,0.6384,0.6008,0.619,0.746
LogisticRegression,789,H3K9ac-H3K27ac-H3K27me3,,65.8,0.7166,67.9,0.7333,0.6903,0.6781,0.6226,0.6492,0.746
LogisticRegression,1011,H3K9me3-H3K27ac-H3K27me3,,66.9,0.7172,65.8,0.7024,0.6615,0.6682,0.5826,0.6225,0.733
LogisticRegression,123,H3K9me3-H3K27ac-H3K27me3,,65.2,0.6843,65.7,0.706,0.6492,0.6635,0.5851,0.6218,0.718
LogisticRegression,42,H3K9me3-H3K27ac-H3K27me3,,68.5,0.7341,69.9,0.736,0.7061,0.6783,0.671,0.6746,0.749
LogisticRegression,456,H3K9me3-H3K27ac-H3K27me3,,67.6,0.7288,63.2,0.6797,0.6394,0.6184,0.5924,0.6052,0.745
LogisticRegression,789,H3K9me3-H3K27ac-H3K27me3,,64.7,0.6917,67.4,0.7139,0.6689,0.6624,0.6457,0.6539,0.753
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,67.4,0.7304,67.6,0.7195,0.6667,0.6852,0.6116,0.6463,0.697
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,67.4,0.7094,66.9,0.7092,0.6383,0.676,0.6017,0.6367,0.702
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,69.3,0.7515,67.5,0.7115,0.6593,0.6483,0.6581,0.6531,0.714
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,66.8,0.7396,66.0,0.706,0.645,0.6447,0.6366,0.6406,0.721
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,67.4,0.7048,69.1,0.7373,0.6874,0.6918,0.6352,0.6623,0.694
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,67.4,0.7323,65.6,0.7025,0.6515,0.6556,0.6095,0.6317,0.693
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,65.5,0.7059,67.7,0.7252,0.6572,0.6795,0.6245,0.6508,0.728
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,68.3,0.7485,68.3,0.7279,0.6834,0.6616,0.6516,0.6566,0.697
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,67.2,0.7294,63.5,0.6821,0.6446,0.6168,0.6155,0.6162,0.733
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,64.9,0.6993,69.6,0.7475,0.6973,0.6927,0.652,0.6717,0.688
LogisticRegression,1011,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,68.6,0.7365,64.9,0.7097,0.6592,0.6462,0.6074,0.6262,0.715
LogisticRegression,123,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,65.7,0.7066,68.2,0.731,0.6796,0.6814,0.639,0.6595,0.749
LogisticRegression,42,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,69.3,0.755,66.5,0.7243,0.6805,0.6419,0.6323,0.6371,0.718
LogisticRegression,456,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,67.3,0.741,66.0,0.7013,0.6472,0.6466,0.6303,0.6383,0.734
LogisticRegression,789,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,66.2,0.71,70.7,0.7438,0.698,0.71,0.652,0.6798,0.722
LogisticRegression,1011,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,68.2,0.735,66.2,0.7118,0.6721,0.6722,0.5888,0.6278,0.711
LogisticRegression,123,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,64.4,0.6979,66.4,0.7099,0.6487,0.6615,0.6203,0.6403,0.72
LogisticRegression,42,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,69.8,0.7536,68.1,0.7328,0.6872,0.6527,0.671,0.6617,0.715
LogisticRegression,456,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,68.1,0.7356,66.8,0.708,0.6524,0.6513,0.6513,0.6513,0.74
LogisticRegression,789,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,63.2,0.6912,68.9,0.7402,0.6966,0.682,0.652,0.6667,0.717
LogisticRegression,1011,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,66.3,0.7168,65.5,0.7037,0.6584,0.6527,0.6136,0.6326,0.716
LogisticRegression,123,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,66.9,0.7043,67.7,0.7311,0.6728,0.6732,0.6411,0.6567,0.747
LogisticRegression,42,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,68.9,0.7409,68.4,0.7257,0.6907,0.6659,0.643,0.6543,0.718
LogisticRegression,456,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,67.3,0.7411,63.1,0.6848,0.6417,0.6192,0.584,0.6011,0.727
LogisticRegression,789,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,64.8,0.7082,67.3,0.723,0.6812,0.6659,0.631,0.648,0.73
LogisticRegression,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,67.6,0.724,64.8,0.6959,0.6503,0.6454,0.6054,0.6247,0.692
LogisticRegression,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,64.4,0.6995,66.3,0.7143,0.6429,0.658,0.6266,0.6419,0.719
LogisticRegression,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,67.7,0.746,67.0,0.7124,0.6668,0.6427,0.6538,0.6482,0.721
LogisticRegression,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,66.8,0.7361,65.1,0.6975,0.6421,0.6337,0.6324,0.633,0.716
LogisticRegression,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,65.5,0.7029,68.3,0.7319,0.6839,0.6802,0.6331,0.6558,0.701
