gene_id,E000,E003,E004,E005,E006,E007,E011,E012,E013,E016,E024,E027,E028,E037,E038,E047,E050,E053,E054,E055,E056,E057,E058,E059,E061,E062,E065,E066,E070,E071,E079,E082,E084,E085,E087,E094,E095,E096,E097,E098,E100,E104,E105,E106,E109,E112,E113,E114,E116,E117,E118,E119,E120,E122,E123,E127,E128
ENSG00000117481,6.185,3.974,4.718,3.046,3.372,3.873,3.827,4.221,4.32,3.771,4.063,6.444,4.512,6.418,4.868,4.156,7.754,3.521,4.003,5.337,4.038,5.674,5.938,5.131,6.329,4.943,2.965,3.614,3.858,5.051,3.509,2.658,4.83,4.279,5.189,3.962,3.608,5.398,4.456,4.613,4.16,3.41,3.511,3.916,4.319,4.3,5.806,5.734,20.313,14.78,7.229,5.999,3.864,5.893,19.586,6.997,3.95
ENSG00000117500,14.302,13.15,11.178,25.339,30.96,10.599,9.464,6.478,12.774,7.888,9.719,54.211,26.688,18.196,10.54,10.773,21.039,10.389,9.92,6.531,6.714,6.458,13.682,3.752,8.035,17.419,9.75,31.395,6.515,4.963,6.279,2.519,12.354,15.085,18.111,8.588,20.339,10.712,8.487,4.069,28.31,11.822,14.887,10.514,13.512,13.349,11.269,15.392,29.157,26.517,21.491,9.806,12.05,7.91,21.477,12.232,15.963
ENSG00000117501,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.005,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.003,0.001,0.002,0.0,0.009,0.036,0.067,0.0,0.0,0.0,0.0,0.013,0.02,0.021,0.0,0.0,0.004,0.462,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.049,0.0,0.0,0.028,0.033
ENSG00000117505,23.072,14.697,25.555,16.51,20.86,33.961,26.076,23.992,24.894,24.294,16.642,18.668,23.599,27.446,20.192,20.267,38.806,12.867,12.704,23.938,19.612,20.775,24.127,15.351,21.622,21.453,28.045,11.452,19.351,7.613,12.919,11.171,21.309,21.04,12.352,22.946,17.617,12.027,16.233,5.879,23.165,15.953,14.446,15.758,15.2,28.491,21.336,17.828,33.581,38.357,11.483,18.881,28.212,12.746,27.387,19.886,21.122
ENSG00000117507,0.017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.018,0.0,0.0,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.011,0.0,0.0,0.011,0.0,0.016,0.0,0.028,0.024,0.0,3.041,0.013,0.178,0.0,0.0,0.012,0.018,0.022,0.019,0.042,0.646,0.0,0.0,0.0,0.0,0.0,0.0,0.003,0.0,0.0,0.0,0.025
ENSG00000117519,72.694,79.336,157.539,121.102,143.246,329.913,205.155,204.665,227.768,170.884,100.743,110.184,50.892,0.217,1.42,2.368,10.054,363.061,255.023,125.202,105.948,84.241,38.524,49.179,85.101,0.427,135.94,76.024,165.948,90.099,97.388,59.883,46.059,24.987,41.04,145.383,34.074,68.473,122.124,41.665,9.324,47.755,44.699,56.31,122.193,97.566,85.639,33.467,0.103,0.043,75.385,88.632,535.394,126.692,0.035,76.257,349.836
ENSG00000117523,46.535,85.889,56.77,82.206,32.194,41.142,37.051,49.745,38.451,48.301,81.479,57.376,46.203,108.578,109.923,102.79,40.471,35.507,36.897,44.954,38.451,35.493,63.167,4.998,5.898,75.541,14.173,14.601,32.556,76.408,15.493,25.279,34.925,35.359,28.959,14.144,11.481,15.574,17.649,16.87,8.294,10.771,9.867,23.738,18.039,16.862,13.762,33.161,29.336,24.965,20.658,22.265,18.343,24.867,34.941,28.994,19.435
ENSG00000117525,4.498,4.485,8.433,25.483,329.654,5.6,5.378,1.802,2.621,3.559,2.021,113.928,726.331,0.02,0.015,0.003,0.515,19.311,19.843,4.702,3.214,322.693,457.691,0.42,0.091,0.301,8.056,2.317,12.212,40.68,47.323,2.652,29.23,25.776,16.912,47.235,22.992,127.07,27.416,79.395,2.624,13.856,20.563,15.101,19.244,111.912,3.165,1.551,0.093,21.811,4.128,475.176,7.632,0.295,0.07,843.607,185.235
ENSG00000117528,11.446,6.541,9.725,10.594,7.509,9.552,10.589,7.955,11.823,9.005,4.889,8.32,11.391,3.466,5.763,5.738,7.583,26.847,29.845,3.589,3.001,2.672,8.274,4.715,11.95,4.256,12.741,48.191,7.734,10.043,8.686,7.928,13.344,12.529,13.531,12.374,21.396,16.073,6.015,10.216,16.764,12.261,14.107,15.82,15.647,43.598,5.633,13.887,12.801,20.724,12.585,9.794,8.053,2.694,5.316,10.359,8.887
ENSG00000117533,5.335,5.316,3.11,2.464,5.428,7.947,5.284,4.757,6.233,3.458,2.782,2.755,5.39,11.319,14.977,12.884,24.087,2.964,4.411,4.703,2.282,1.962,5.041,1.787,6.382,8.291,27.259,4.434,4.334,9.188,5.717,4.623,5.738,4.962,13.086,8.915,4.672,8.086,7.12,5.654,5.978,5.623,5.221,4.361,4.418,14.064,11.401,4.494,7.018,6.108,1.349,1.791,1.861,1.699,11.85,5.225,11.081
ENSG00000117543,13.072,16.931,16.138,6.523,10.515,25.926,14.342,20.063,10.435,16.207,13.12,3.011,13.839,12.4,23.006,22.283,26.024,7.397,9.191,16.191,3.851,7.261,16.018,6.591,12.06,9.34,11.618,9.036,10.177,7.942,6.506,7.429,10.375,9.391,9.771,12.793,9.342,9.598,21.451,11.542,12.071,13.193,10.114,9.25,10.897,19.583,15.591,20.506,30.51,32.233,18.893,10.551,10.992,8.116,40.443,19.048,10.952
ENSG00000117560,0.045,0.0,0.012,0.293,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.036,0.309,0.159,0.517,0.042,0.0,0.0,0.0,0.006,0.003,0.016,0.0,0.0,2.666,0.0,0.582,0.0,0.061,0.222,0.0,0.872,0.358,0.0,0.341,0.027,0.255,0.086,0.069,0.008,0.06,0.042,0.247,0.083,0.32,1.137,0.005,3.557,0.0,0.049,0.015,0.004,0.0,0.022,0.027,0.0
ENSG00000117569,9.477,18.02,24.825,4.3,3.113,29.84,22.751,34.852,8.741,26.875,24.195,16.088,3.173,13.025,12.686,12.114,17.593,6.474,10.408,3.974,2.83,1.361,3.459,0.946,5.098,7.602,7.439,3.863,34.35,14.836,15.502,40.086,12.824,8.994,6.235,4.139,5.255,14.893,13.032,14.604,4.439,5.259,9.055,5.149,5.51,31.221,15.786,8.956,12.102,12.89,5.544,2.426,8.047,2.947,10.31,3.118,7.037
ENSG00000117586,1.575,0.248,0.112,0.547,33.278,0.64,0.576,1.071,3.66,0.414,0.191,0.101,0.147,0.668,0.704,1.078,20.939,0.174,0.293,0.583,0.457,0.124,0.163,0.199,0.498,1.128,0.029,0.903,0.204,0.848,0.506,0.373,0.352,0.488,1.398,0.966,0.476,0.663,1.264,0.544,0.182,1.023,0.483,1.403,0.216,4.232,1.396,0.233,25.788,0.743,7.957,0.052,79.129,34.142,0.15,0.813,6.88
ENSG00000117592,163.772,203.232,193.389,152.375,270.191,153.335,111.54,168.251,324.324,217.303,139.885,102.485,148.388,31.763,47.286,62.241,138.477,58.347,51.787,141.747,172.231,106.851,103.408,111.117,82.262,41.958,135.201,758.048,34.959,102.818,149.496,15.852,81.91,88.656,94.217,177.162,342.337,220.392,101.013,113.26,217.67,448.34,371.355,204.519,83.73,199.401,114.72,109.753,66.144,255.072,106.701,139.615,276.545,77.702,321.414,112.716,139.017
ENSG00000117593,28.179,20.33,23.835,10.436,8.79,11.263,16.601,16.295,13.318,19.782,23.414,4.484,20.365,3.173,4.311,3.949,12.178,10.715,11.473,19.128,17.496,17.015,32.445,12.076,16.663,2.693,3.039,6.195,7.699,1.935,5.794,3.726,13.569,13.087,9.286,7.316,7.91,6.893,4.221,4.461,9.149,7.867,6.539,12.4,17.311,7.017,7.242,48.05,57.42,59.196,14.889,30.762,14.127,14.133,62.283,27.606,15.461
ENSG00000117594,0.169,0.0,0.0,0.028,4.303,0.0,0.0,0.005,0.136,0.0,0.0,5.493,4.261,0.188,0.014,0.0,0.0,0.0,0.007,0.061,0.056,0.057,0.135,0.0,0.0,0.019,3.345,757.449,0.056,11.857,3.548,0.0,0.17,0.007,0.666,16.494,1.944,11.26,28.462,0.086,0.708,1.236,5.041,1.433,3.207,0.429,3.14,0.069,0.073,0.006,0.0,0.363,0.014,0.0,0.007,2.725,11.054
ENSG00000117595,0.574,2.76,3.406,10.755,0.446,0.017,0.396,0.058,0.525,1.489,4.436,82.34,215.16,0.061,0.122,0.126,0.638,0.0,0.011,0.052,0.077,66.814,119.452,1.792,1.924,0.237,11.962,13.612,0.13,1.814,27.238,0.118,39.093,42.099,16.633,28.103,6.549,9.742,0.74,11.513,0.191,20.543,3.692,26.108,25.109,38.413,1.553,0.159,0.329,0.009,0.019,148.853,0.024,35.698,0.444,356.751,0.535
ENSG00000117597,7.111,5.271,10.59,3.135,4.25,4.087,3.546,5.782,6.385,7.168,7.234,14.594,6.207,8.906,9.573,8.603,6.631,3.888,4.313,12.76,7.638,6.858,10.164,4.454,6.857,5.132,1.539,3.3,5.101,2.824,3.468,6.344,6.169,7.095,3.74,4.419,2.796,2.529,6.625,1.818,4.901,1.703,2.138,3.298,3.975,4.247,4.387,15.811,15.737,28.694,4.994,12.143,8.322,7.346,15.812,14.946,14.735
ENSG00000117598,0.155,3.285,1.406,0.668,0.002,0.57,0.593,0.545,5.645,0.964,2.452,0.0,0.038,0.0,0.0,0.01,0.0,1.19,3.912,0.015,0.014,0.092,0.336,0.061,0.343,0.0,0.0,0.0,2.242,2.867,0.243,29.91,1.786,0.048,2.634,0.0,0.004,0.023,0.005,0.327,0.006,0.0,0.0,0.114,0.059,0.076,0.0,0.0,0.0,0.0,0.0,0.056,0.0,0.006,0.0,0.535,0.129
ENSG00000117600,0.442,3.093,2.963,0.079,1.21,0.101,0.115,0.463,0.603,0.708,1.244,0.111,0.0,0.0,0.0,0.0,0.0,8.212,4.802,0.097,0.087,0.02,0.081,0.156,1.068,0.066,0.0,0.029,5.422,8.957,8.165,49.775,0.866,0.244,8.622,0.047,0.107,0.23,0.047,0.649,0.089,0.286,0.191,0.247,0.528,0.301,0.514,0.007,0.0,0.0,0.0,0.003,0.071,0.007,0.0,0.0,40.297
ENSG00000117601,5.826,0.01,0.007,0.108,0.032,0.056,0.006,0.01,0.017,0.087,0.035,0.199,0.038,0.036,0.057,0.105,0.078,0.069,0.048,0.026,0.026,0.019,0.045,0.0,0.099,0.105,0.715,3975.21,0.72,13.313,0.377,0.075,0.299,0.538,0.171,0.073,0.178,0.06,0.012,0.235,2.983,0.225,0.124,0.123,0.19,0.402,0.1,0.081,0.012,0.01,131.211,0.079,0.151,0.052,0.17,0.148,0.031
ENSG00000117602,8.396,8.029,12.524,17.724,13.55,2.955,8.326,4.615,6.023,6.619,11.464,7.471,13.137,144.696,195.015,186.311,7.056,5.245,1.05,7.965,6.821,11.92,14.553,13.528,21.663,57.842,3.87,1.039,2.819,1.623,6.958,2.868,6.608,5.375,30.141,9.614,3.173,5.737,0.537,5.096,0.682,1.881,2.158,10.259,5.407,14.487,5.697,10.177,0.013,3.359,11.458,18.136,3.896,0.986,0.236,14.296,12.142
