gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value_1,value_2
XLOC_000251,46,8,39,46,2,32.6551,31.9354
XLOC_000252,8,3,2,0,65,0.0,0.0
XLOC_000253,29,10,19,35,0,16.2677,17.1394
XLOC_000254,29,2,28,43,0,16.1769,15.1169
XLOC_000255,7,4,8,6,11,0.047446,0.0391798
XLOC_000257,32,0,42,35,0,0.288295,0.160592
XLOC_000258,28,0,27,16,0,19.2125,19.9038
XLOC_000259,17,11,19,16,18,16.3773,15.0273
XLOC_000262,32,0,36,43,0,8.03788,7.22391
XLOC_000263,15,6,10,5,56,0.0,0.0
XLOC_000264,30,7,34,19,0,62.4155,61.9606
XLOC_000265,15,0,17,13,2,3.77614,3.73126
XLOC_000266,25,0,23,20,0,14.203,14.2806
XLOC_000267,37,7,24,29,0,23.9011,23.3535
XLOC_000268,20,0,18,0,0,2.67059,2.64371
XLOC_000269,20,0,18,0,0,110.298,109.528
XLOC_000270,34,0,13,28,0,0.284236,0.304366
XLOC_000271,34,0,13,39,0,0.465516,0.270305
XLOC_000272,20,3,23,16,0,50.8854,50.4981
XLOC_000273,42,5,16,42,0,0.696408,0.57871
XLOC_000274,42,5,16,42,0,2.13995,2.50774
XLOC_000275,4,0,8,0,14,0.0211071,0.0240338
XLOC_000276,4,0,8,0,14,1.42782,1.69436
XLOC_000277,39,3,32,30,0,23.5632,23.3732
XLOC_000278,43,9,32,50,0,10.1484,9.47008
XLOC_000279,43,9,32,50,0,9.38623,8.86066
XLOC_000280,10,10,4,0,60,0.0,0.0
XLOC_000281,9,0,17,5,4,0.97247,0.739909
XLOC_000282,34,2,34,35,0,6.61293,6.23541
XLOC_000283,0,0,0,0,23,0.0,0.0
XLOC_000284,10,0,11,5,8,0.173196,0.104106
XLOC_000285,8,3,14,6,7,0.94857,1.1025
XLOC_000286,0,6,3,0,44,0.0,0.0
XLOC_000287,0,7,3,0,44,0.0176207,0.0134851
XLOC_000288,18,3,18,12,0,0.0,0.0
XLOC_000289,18,3,18,12,0,0.0,0.0
XLOC_000290,18,3,18,12,0,0.0,0.0233976
XLOC_000291,18,3,18,12,0,0.0,0.0
XLOC_000292,0,0,0,0,0,6.08989,6.2939
XLOC_000293,15,6,20,12,4,13.8527,13.3062
XLOC_000294,26,4,25,21,0,6.21711,6.5145
XLOC_000295,37,3,26,36,9,0.262684,0.254525
XLOC_000296,21,5,22,17,0,3.01746,3.16265
XLOC_000297,0,0,0,0,0,7.95817,7.39266
XLOC_000298,21,9,30,20,0,5.07368,4.98491
XLOC_000299,18,11,19,9,15,12.8958,12.0989
XLOC_000300,44,9,37,22,0,6.49652,6.732
XLOC_000301,32,0,28,22,0,39.5552,39.9128
XLOC_000302,22,5,21,18,0,2.61497,2.69043
XLOC_000304,61,3,56,61,0,7.35593,6.92413
XLOC_000305,21,0,19,12,0,0.166682,0.192707
XLOC_000306,43,3,45,37,0,15.1876,14.8858
XLOC_000307,22,0,25,20,4,13.5863,13.7655
XLOC_000308,22,0,25,20,4,30.3918,29.1551
XLOC_000309,42,7,35,30,0,17.4864,16.6631
XLOC_000313,29,11,27,22,0,1.48782,1.57141
XLOC_000314,38,7,33,58,0,55.234,55.2219
XLOC_000315,21,0,24,22,0,183.352,184.246
XLOC_000317,22,16,18,12,33,13.5696,13.5448
XLOC_000318,23,11,12,4,47,0.105154,0.153847
XLOC_000319,9,5,0,0,51,7.86729,10.4029
XLOC_000320,17,3,11,0,30,0.152073,0.197341
XLOC_000321,29,4,32,21,0,88.2999,88.6388
XLOC_000322,16,5,27,13,0,6.53673,6.82075
XLOC_000323,0,0,0,0,0,0.0,0.0
XLOC_000324,20,0,24,18,0,46.1544,49.0633
XLOC_000325,0,0,0,0,0,11.3093,10.7353
XLOC_000326,20,3,23,18,0,4.01035,3.46724
XLOC_000327,15,5,17,10,5,2.19793,2.40135
XLOC_000328,15,5,17,10,5,6.19628,6.18034
XLOC_000329,19,0,23,52,0,5.64451,5.77842
XLOC_000330,25,4,25,28,0,21.3134,18.7771
XLOC_000331,25,4,25,28,0,0.0,0.0
XLOC_000332,25,4,25,28,0,0.0,0.0
XLOC_000333,13,4,5,0,41,0.020878,0.0124392
XLOC_000334,19,0,20,20,0,22.4639,22.2812
XLOC_000335,24,14,24,37,0,1.97771,2.45776
XLOC_000336,24,14,24,37,0,0.1889,0.116415
XLOC_000338,0,0,0,0,34,0.431812,0.264073
XLOC_000339,12,0,15,11,6,0.361531,0.355662
XLOC_000340,20,5,20,15,0,25.2336,24.0698
XLOC_000341,20,5,20,15,0,0.346404,0.12973
XLOC_000342,5,0,10,0,0,0.803882,0.330231
XLOC_000343,5,0,10,0,0,0.0484491,0.17104
XLOC_000344,18,0,18,13,0,25.8958,28.0885
XLOC_000345,33,4,39,25,0,397.223,392.8
XLOC_000346,29,10,35,23,0,7.71497,9.13941
XLOC_000347,12,3,18,13,0,1.69763,1.82097
XLOC_000348,19,0,19,15,0,4.62488,4.30316
XLOC_000349,82,14,63,95,0,0.0774845,0.46096
XLOC_000350,0,0,0,0,0,0.555752,0.31156
XLOC_000351,0,10,0,0,16,0.0231881,0.0178711
XLOC_000352,0,10,0,0,16,0.0218113,0.0769362
XLOC_000353,11,6,0,0,33,0.302419,0.357022
XLOC_000354,4,0,0,0,10,0.107899,0.151756
XLOC_000355,33,2,24,22,0,39.9207,40.0749
XLOC_000356,15,0,21,13,0,2.62551,2.07163
XLOC_000357,15,0,21,13,0,0.268027,0.460481
XLOC_000358,3,0,0,0,3,34.9534,32.4624
XLOC_000359,29,0,25,17,0,10.6416,10.1261
XLOC_000360,25,11,22,20,0,5.1564,5.40916
XLOC_000361,27,4,26,22,0,7.28429,7.05052
XLOC_000362,24,0,21,17,0,12.5184,11.3018
XLOC_000363,50,9,43,42,0,89.7514,88.4016
XLOC_000364,66,15,44,48,0,28.5578,25.2047
XLOC_000365,24,0,18,26,0,2.36425,2.7025
XLOC_000366,24,0,18,26,0,0.110797,0.0
XLOC_000367,0,4,0,0,10,0.0112799,0.0
XLOC_000368,8,0,16,10,0,10.2515,11.0138
XLOC_000369,24,0,24,4,26,22.5788,21.1876
XLOC_000370,13,0,19,16,0,0.0,0.0935189
XLOC_000371,35,3,24,14,7,21.7924,21.5711
XLOC_000372,36,9,29,30,0,1280.87,1361.91
XLOC_000373,36,9,29,30,0,0.0,0.0
XLOC_000374,36,9,29,30,0,0.0,0.0
XLOC_000375,36,9,29,30,0,0.0,0.0
XLOC_000376,36,9,29,30,0,0.0,2227.83
XLOC_000377,33,7,26,35,0,7.18257,6.83615
XLOC_000378,33,7,26,35,0,2.20881,2.4121
XLOC_000379,40,6,32,30,0,64.4972,63.665
XLOC_000380,24,0,20,19,0,0.303308,0.328914
XLOC_000381,0,3,0,0,0,0.0968645,0.15991
XLOC_000382,25,0,27,51,0,7.86301,6.80162
XLOC_000383,23,0,28,43,0,5.04262,5.34193
XLOC_000384,27,0,20,21,0,58.7983,62.5368
XLOC_000385,32,7,35,22,0,69.591,70.615
XLOC_000386,45,5,55,40,0,33.9583,36.5136
XLOC_000387,0,0,0,0,0,12.1527,11.9018
XLOC_000388,11,0,3,8,10,0.0,0.0
XLOC_000389,11,0,3,8,10,1.95182,2.27958
XLOC_000390,3,0,0,0,0,0.0251358,0.122332
XLOC_000391,3,0,0,0,0,0.143557,0.113767
XLOC_000392,22,0,21,23,0,10.3176,10.4074
XLOC_000393,22,0,21,23,0,283.186,283.424
XLOC_000394,35,3,29,31,0,10.4215,9.87731
XLOC_000396,0,3,0,0,35,0.0390648,0.0858656
XLOC_000397,0,0,0,0,0,0.0,0.0
XLOC_000398,0,0,0,0,11,0.0,0.0
XLOC_000399,0,5,0,0,0,0.0,0.0213912
XLOC_000400,0,0,0,0,0,0.0,0.0
XLOC_000401,0,0,0,0,0,0.0420161,0.0990081
XLOC_000403,30,7,27,30,0,92.8442,99.0655
XLOC_000404,16,0,0,3,28,0.0,0.0
XLOC_000405,16,0,0,3,28,0.456719,0.483168
XLOC_000406,21,0,15,16,0,11.315,10.9807
XLOC_000407,0,9,0,0,0,0.0,0.0
XLOC_000408,21,0,25,16,0,7.6761,8.14971
XLOC_000409,0,0,0,0,0,0.0,0.0
