gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000033867,35,0,34,23,0,1.53
ENSG00000034053,0,3,0,0,12,0.274
ENSG00000034063,0,0,0,0,0,0.122
ENSG00000034152,65,0,54,62,0,34.584
ENSG00000034239,23,0,14,14,0,0.276
ENSG00000034510,47,14,44,48,0,907.277
ENSG00000034533,30,0,27,19,0,3.43
ENSG00000034677,0,0,0,0,0,16.04
ENSG00000034693,60,0,47,28,0,14.515
ENSG00000034713,69,0,35,30,0,134.641
ENSG00000034971,22,0,32,53,0,0.013
ENSG00000035115,42,0,39,42,0,2.185
ENSG00000035141,35,0,24,20,0,19.171
ENSG00000035403,46,0,47,47,0,11.811
ENSG00000035499,23,0,31,14,0,0.198
ENSG00000035664,90,0,50,88,0,0.779
ENSG00000035681,42,0,37,36,0,2.325
ENSG00000035687,59,0,52,42,0,14.351
ENSG00000035720,0,17,0,0,21,0.351
ENSG00000035862,20,0,23,64,0,36.992
ENSG00000035928,65,0,57,51,0,15.296
ENSG00000036054,55,0,31,30,0,11.04
ENSG00000036257,57,0,53,63,0,10.487
ENSG00000036448,0,8,0,0,83,1.95
ENSG00000036473,70,0,48,68,0,165.238
ENSG00000036530,18,0,22,21,0,0.277
ENSG00000036549,68,0,63,68,0,4.907
ENSG00000036565,0,0,0,18,37,0.206
ENSG00000036672,72,0,20,47,0,4.875
ENSG00000036828,0,46,20,0,85,0.189
ENSG00000037042,29,0,20,15,0,5.86
ENSG00000037280,0,32,54,72,88,3.563
ENSG00000037474,65,0,72,64,0,18.234
ENSG00000037637,50,0,34,36,0,2.744
ENSG00000037749,25,0,28,46,0,5.319
ENSG00000037757,32,0,21,49,0,10.662
ENSG00000037897,29,0,29,19,8,5.032
ENSG00000037965,8,7,5,0,94,0.016
ENSG00000038002,35,0,26,23,0,13.166
ENSG00000038210,72,0,68,64,0,14.666
ENSG00000038219,56,0,39,17,0,5.189
ENSG00000038274,56,0,58,57,0,26.526
ENSG00000038295,45,0,29,0,78,0.064
ENSG00000038358,55,0,39,56,0,10.796
ENSG00000038382,50,0,41,64,0,1.753
ENSG00000038427,0,45,40,30,100,0.77
ENSG00000038532,83,0,70,69,0,1.415
ENSG00000038945,0,0,0,0,27,8.48
ENSG00000039068,51,0,49,53,0,35.561
ENSG00000039123,100,3,59,40,0,10.046
ENSG00000039139,0,4,0,0,66,0.128
ENSG00000039319,86,0,53,65,0,4.666
ENSG00000039523,17,0,6,11,0,10.666
ENSG00000039537,0,0,0,31,0,431.99
ENSG00000039560,39,0,37,47,0,6.291
ENSG00000039600,38,0,28,0,22,0.0
ENSG00000039650,57,0,73,62,0,13.133
ENSG00000039987,0,19,0,0,0,0.0
ENSG00000040199,55,0,21,70,0,1.139
ENSG00000040275,55,0,48,16,24,0.736
ENSG00000040341,45,0,34,33,0,4.62
ENSG00000040487,34,0,29,27,0,7.972
ENSG00000040531,87,0,44,71,0,8.024
