histone_marker,model,val_accuracy_mean,val_accuracy_std,val_auc_mean,val_auc_std,test_accuracy_mean,test_accuracy_std,test_auc_mean,test_auc_std
H3K9me3,DirectRanker,49.54,0.8933,0.524,0.0089,51.42,0.6834,0.5352,0.0128
H3K9me3,SVM_Linear,52.04,1.4673,0.5001,0.0104,50.84,0.7232,0.5088,0.0105
H3K9me3,LogisticRegression,51.92,1.2458,0.5019,0.0054,50.54,0.5413,0.5032,0.0085
H3K9me3-H3K27ac,RandomForest,74.08,2.7096,0.8224,0.0229,74.8,1.3546,0.8319,0.0143
H3K9me3-H3K27ac,DirectRanker,72.0,2.0261,0.812,0.0217,73.2,1.5083,0.8215,0.0113
H3K9me3-H3K27ac,LogisticRegression,71.66,2.4203,0.7725,0.0228,72.28,1.2988,0.7842,0.0159
H3K9me3-H3K27ac,SVM_Linear,70.82,2.2676,0.7679,0.0201,71.8,0.9618,0.7772,0.0133
H3K9me3-H3K27ac-H3K27me3,RandomForest,74.1,2.8045,0.8226,0.0218,75.04,1.3446,0.8327,0.0148
H3K9me3-H3K27ac-H3K27me3,DirectRanker,72.1,2.245,0.806,0.0251,73.32,1.429,0.8195,0.0115
H3K9me3-H3K27ac-H3K27me3,LogisticRegression,71.26,2.5667,0.7643,0.0254,71.78,1.2256,0.7736,0.0169
H3K9me3-H3K27ac-H3K27me3,SVM_Linear,70.72,2.543,0.7633,0.0244,71.26,0.9182,0.7704,0.0168
H3K9me3-H3K27me3,RandomForest,53.62,1.3442,0.5392,0.0088,52.68,1.1925,0.546,0.0074
H3K9me3-H3K27me3,DirectRanker,51.12,1.0941,0.55,0.0071,52.6,0.8944,0.554,0.0188
H3K9me3-H3K27me3,SVM_Linear,52.84,1.3012,0.5203,0.0112,51.12,0.8815,0.5125,0.0086
H3K9me3-H3K27me3,LogisticRegression,52.46,1.3183,0.5184,0.0111,50.94,0.8792,0.5125,0.0096
