model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3,,69.3,0.7469,71.1,0.7709,0.7494,0.7572,0.6262,0.6855,0.746
SVM_Linear,1011,H3K4me3-H3K9ac-H3K27ac,,70.0,0.7616,72.7,0.7984,0.773,0.7562,0.6733,0.7123,0.74
SVM_Linear,123,H3K4me3-H3K9ac-H3K27ac,,74.2,0.8046,72.9,0.7987,0.7892,0.7483,0.6768,0.7108,0.746
SVM_Linear,42,H3K4me3-H3K9ac-H3K27ac,,74.4,0.8026,76.6,0.8306,0.8077,0.7763,0.7214,0.7478,0.761
SVM_Linear,456,H3K4me3-H3K9ac-H3K27ac,,75.2,0.824,73.9,0.7872,0.7672,0.761,0.6749,0.7154,0.76
SVM_Linear,789,H3K4me3-H3K9ac-H3K27ac,,71.5,0.7663,71.7,0.7933,0.7746,0.7619,0.6362,0.6934,0.744
SVM_Linear,1011,H3K4me3-H3K9ac-H3K27me3,,70.0,0.7569,72.2,0.7933,0.7728,0.7642,0.6454,0.6998,0.752
SVM_Linear,123,H3K4me3-H3K9ac-H3K27me3,,74.6,0.8099,72.4,0.7942,0.777,0.7455,0.6667,0.7039,0.774
SVM_Linear,42,H3K4me3-H3K9ac-H3K27me3,,73.7,0.7978,74.0,0.8077,0.782,0.7429,0.7027,0.7222,0.762
SVM_Linear,456,H3K4me3-H3K9ac-H3K27me3,,75.2,0.8246,72.0,0.7758,0.7616,0.7512,0.6337,0.6875,0.764
SVM_Linear,789,H3K4me3-H3K9ac-H3K27me3,,69.8,0.7528,71.3,0.7796,0.7573,0.766,0.6183,0.6843,0.752
SVM_Linear,1011,H3K4me3-H3K9me3-H3K27ac,,68.3,0.7457,72.4,0.7926,0.7749,0.7415,0.6912,0.7155,0.746
SVM_Linear,123,H3K4me3-H3K9me3-H3K27ac,,72.7,0.79,71.1,0.7843,0.7655,0.7366,0.6423,0.6862,0.747
SVM_Linear,42,H3K4me3-H3K9me3-H3K27ac,,72.9,0.7844,73.6,0.8006,0.7662,0.7333,0.7089,0.7209,0.747
SVM_Linear,456,H3K4me3-H3K9me3-H3K27ac,,74.6,0.8073,72.3,0.7715,0.7357,0.7287,0.6852,0.7063,0.778
SVM_Linear,789,H3K4me3-H3K9me3-H3K27ac,,70.2,0.7611,71.1,0.7854,0.7731,0.7465,0.6441,0.6916,0.749
SVM_Linear,1011,H3K4me3-H3K9me3-H3K27me3,,68.9,0.746,71.7,0.7921,0.7698,0.7472,0.6594,0.7005,0.737
SVM_Linear,123,H3K4me3-H3K9me3-H3K27me3,,71.2,0.7907,70.2,0.7664,0.7432,0.7277,0.6301,0.6754,0.777
SVM_Linear,42,H3K4me3-H3K9me3-H3K27me3,,72.7,0.7794,72.0,0.7823,0.7482,0.7161,0.6923,0.704,0.771
SVM_Linear,456,H3K4me3-H3K9me3-H3K27me3,,74.3,0.8084,69.0,0.7499,0.7144,0.7037,0.6255,0.6623,0.776
SVM_Linear,789,H3K4me3-H3K9me3-H3K27me3,,68.7,0.7443,69.1,0.7633,0.7454,0.7266,0.6183,0.6681,0.755
SVM_Linear,1011,H3K4me3-H3K27ac-H3K27me3,,69.5,0.7577,72.3,0.7959,0.7738,0.7462,0.6793,0.7112,0.754
SVM_Linear,123,H3K4me3-H3K27ac-H3K27me3,,72.5,0.795,73.4,0.8028,0.7963,0.7616,0.6687,0.7121,0.773
SVM_Linear,42,H3K4me3-H3K27ac-H3K27me3,,74.5,0.8142,75.4,0.8224,0.803,0.7594,0.7152,0.7366,0.764
SVM_Linear,456,H3K4me3-H3K27ac-H3K27me3,,75.6,0.8237,71.8,0.7805,0.7733,0.7406,0.6461,0.6901,0.773
SVM_Linear,789,H3K4me3-H3K27ac-H3K27me3,,70.5,0.7634,72.1,0.7982,0.7794,0.7581,0.6541,0.7022,0.755
SVM_Linear,1011,H3K9ac-H3K9me3-H3K27ac,,69.5,0.7522,71.6,0.7869,0.7607,0.75,0.6514,0.6972,0.731
SVM_Linear,123,H3K9ac-H3K9me3-H3K27ac,,73.0,0.7867,70.7,0.771,0.7448,0.7421,0.6199,0.6755,0.722
SVM_Linear,42,H3K9ac-H3K9me3-H3K27ac,,71.9,0.7716,73.3,0.7959,0.7525,0.7399,0.6861,0.712,0.727
SVM_Linear,456,H3K9ac-H3K9me3-H3K27ac,,74.2,0.7956,70.4,0.7613,0.7172,0.7102,0.6605,0.6844,0.751
SVM_Linear,789,H3K9ac-H3K9me3-H3K27ac,,69.7,0.7622,70.8,0.7775,0.7517,0.7712,0.5964,0.6726,0.74
SVM_Linear,1011,H3K9ac-H3K9me3-H3K27me3,,68.1,0.7365,70.9,0.781,0.757,0.7644,0.6076,0.677,0.705
SVM_Linear,123,H3K9ac-H3K9me3-H3K27me3,,72.1,0.7762,69.0,0.759,0.7299,0.737,0.5752,0.6461,0.686
SVM_Linear,42,H3K9ac-H3K9me3-H3K27me3,,70.9,0.7527,72.0,0.7703,0.7175,0.73,0.6632,0.695,0.725
SVM_Linear,456,H3K9ac-H3K9me3-H3K27me3,,73.7,0.7944,69.8,0.7361,0.6926,0.719,0.6214,0.6667,0.744
SVM_Linear,789,H3K9ac-H3K9me3-H3K27me3,,70.1,0.7505,69.7,0.7636,0.7244,0.7513,0.5944,0.6637,0.732
SVM_Linear,1011,H3K9ac-H3K27ac-H3K27me3,,70.7,0.7636,71.0,0.7918,0.7559,0.75,0.6335,0.6868,0.739
SVM_Linear,123,H3K9ac-H3K27ac-H3K27me3,,73.6,0.7921,72.7,0.7939,0.7797,0.7613,0.6484,0.7003,0.747
SVM_Linear,42,H3K9ac-H3K27ac-H3K27me3,,73.4,0.8,74.8,0.8193,0.7874,0.7596,0.6965,0.7267,0.751
SVM_Linear,456,H3K9ac-H3K27ac-H3K27me3,,75.8,0.8108,72.2,0.7699,0.7607,0.743,0.6543,0.6958,0.753
SVM_Linear,789,H3K9ac-H3K27ac-H3K27me3,,70.9,0.7683,71.5,0.7901,0.7613,0.7795,0.6044,0.6809,0.742
SVM_Linear,1011,H3K9me3-H3K27ac-H3K27me3,,67.0,0.7345,71.3,0.7806,0.7566,0.7449,0.6514,0.695,0.735
SVM_Linear,123,H3K9me3-H3K27ac-H3K27me3,,71.1,0.7623,70.9,0.7608,0.7354,0.7433,0.624,0.6785,0.716
SVM_Linear,42,H3K9me3-H3K27ac-H3K27me3,,73.0,0.7834,72.8,0.7922,0.748,0.7317,0.6861,0.7082,0.746
SVM_Linear,456,H3K9me3-H3K27ac-H3K27me3,,73.0,0.7916,70.9,0.749,0.7096,0.7252,0.6461,0.6834,0.76
SVM_Linear,789,H3K9me3-H3K27ac-H3K27me3,,69.5,0.7448,70.4,0.7694,0.7485,0.7494,0.6183,0.6776,0.758
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,68.9,0.7444,71.8,0.7886,0.7701,0.7466,0.6633,0.7025,0.733
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,72.3,0.7884,70.3,0.7744,0.7582,0.7316,0.626,0.6747,0.704
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,72.5,0.7743,74.8,0.8017,0.7677,0.7495,0.7152,0.7319,0.739
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,73.9,0.8024,72.3,0.7633,0.7248,0.7348,0.6728,0.7025,0.754
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac,,69.9,0.75,71.1,0.7756,0.7525,0.7512,0.6362,0.6889,0.734
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,68.2,0.7424,71.6,0.7895,0.7674,0.7583,0.6375,0.6926,0.736
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,73.1,0.7923,70.5,0.7688,0.7463,0.7275,0.6402,0.6811,0.75
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,71.8,0.7731,72.1,0.7871,0.75,0.7186,0.6902,0.7041,0.753
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,74.2,0.8067,69.6,0.7516,0.7161,0.7136,0.6255,0.6667,0.754
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3-H3K27me3,,68.2,0.7332,70.0,0.7586,0.7312,0.7458,0.6123,0.6725,0.73
SVM_Linear,1011,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,69.5,0.7573,71.9,0.7926,0.766,0.7461,0.6673,0.7045,0.747
SVM_Linear,123,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,73.3,0.7947,72.6,0.7942,0.7885,0.7477,0.6687,0.706,0.742
SVM_Linear,42,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,74.2,0.8023,76.1,0.8211,0.7937,0.7689,0.7193,0.7433,0.769
SVM_Linear,456,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,74.7,0.818,72.3,0.7711,0.7589,0.7447,0.6543,0.6966,0.745
SVM_Linear,789,H3K4me3-H3K9ac-H3K27ac-H3K27me3,,70.6,0.7535,71.9,0.7847,0.7639,0.7643,0.6382,0.6956,0.736
SVM_Linear,1011,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,69.0,0.7457,72.3,0.7933,0.7696,0.7409,0.6892,0.7141,0.743
SVM_Linear,123,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,72.1,0.783,70.4,0.7763,0.7642,0.7269,0.6382,0.6797,0.744
SVM_Linear,42,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,74.1,0.7888,73.9,0.8014,0.766,0.7381,0.7089,0.7232,0.742
SVM_Linear,456,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,74.5,0.806,71.5,0.7584,0.7237,0.7248,0.6667,0.6945,0.763
SVM_Linear,789,H3K4me3-H3K9me3-H3K27ac-H3K27me3,,69.6,0.7465,70.5,0.7779,0.7617,0.7374,0.6421,0.6865,0.737
SVM_Linear,1011,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,69.5,0.7469,71.9,0.7884,0.7585,0.7517,0.6574,0.7014,0.732
SVM_Linear,123,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,72.2,0.7737,70.6,0.7657,0.746,0.7426,0.6159,0.6733,0.706
SVM_Linear,42,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,72.7,0.776,74.0,0.7939,0.7472,0.7439,0.7006,0.7216,0.732
SVM_Linear,456,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,73.9,0.7946,70.6,0.7473,0.7093,0.7152,0.6564,0.6845,0.748
SVM_Linear,789,H3K9ac-H3K9me3-H3K27ac-H3K27me3,,69.1,0.7513,70.1,0.7668,0.7354,0.7589,0.5944,0.6667,0.731
SVM_Linear,1011,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,68.7,0.7423,71.7,0.7892,0.7635,0.7417,0.6693,0.7037,0.734
SVM_Linear,123,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,72.2,0.7799,70.0,0.7682,0.7573,0.7254,0.628,0.6732,0.707
SVM_Linear,42,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,72.8,0.7797,74.7,0.8038,0.7673,0.7446,0.7214,0.7328,0.757
SVM_Linear,456,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,73.9,0.8033,71.4,0.755,0.7221,0.7315,0.6502,0.6885,0.741
SVM_Linear,789,H3K4me3-H3K9ac-H3K9me3-H3K27ac-H3K27me3,,68.9,0.7354,71.0,0.768,0.7437,0.7483,0.6382,0.6888,0.732
