gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,E066
ENSG00000147647,51,0,48,70,0,267.611
ENSG00000148175,62,0,46,89,0,265.005
ENSG00000130724,46,0,50,54,0,264.128
ENSG00000125995,31,0,30,19,0,264.017
ENSG00000169564,71,0,56,92,0,263.685
ENSG00000139178,42,0,39,55,0,263.108
ENSG00000080824,29,0,24,16,0,262.746
ENSG00000081041,45,0,43,93,0,262.017
ENSG00000148672,60,0,64,62,0,261.555
ENSG00000111780,17,0,19,14,0,259.463
ENSG00000163453,22,0,35,63,12,259.417
ENSG00000250479,25,0,46,46,0,258.828
ENSG00000188536,0,0,0,0,29,258.619
ENSG00000135404,30,0,30,49,0,257.193
ENSG00000068697,38,0,35,48,0,256.525
ENSG00000142484,13,0,10,30,0,255.454
ENSG00000112245,47,0,10,92,0,255.29
ENSG00000179761,39,0,47,53,0,254.894
ENSG00000166278,29,0,39,51,0,252.946
ENSG00000072506,17,0,16,20,0,252.286
ENSG00000132507,27,0,31,37,0,251.797
ENSG00000125551,5,0,0,10,0,251.091
ENSG00000172955,24,0,30,26,0,249.769
ENSG00000111057,63,0,56,85,0,249.249
ENSG00000106153,16,3,19,20,0,248.862
ENSG00000166595,43,0,47,66,0,248.268
ENSG00000196683,18,0,23,15,0,248.115
ENSG00000092841,42,0,39,56,0,247.557
ENSG00000134333,32,0,31,34,0,247.105
ENSG00000172831,42,0,48,65,0,245.458
ENSG00000060971,67,0,73,74,0,245.274
ENSG00000257529,18,4,19,14,0,244.954
ENSG00000148834,13,0,16,6,0,244.28
ENSG00000182117,11,0,17,18,0,243.753
ENSG00000107537,41,0,42,50,0,243.562
ENSG00000075239,64,0,46,78,0,243.155
ENSG00000164237,56,0,36,75,0,240.892
ENSG00000115255,31,0,35,45,0,239.777
ENSG00000105518,24,3,28,30,0,239.385
ENSG00000162365,19,0,25,21,0,237.156
ENSG00000108953,34,0,29,32,0,237.023
ENSG00000096384,37,0,36,55,0,236.534
ENSG00000123843,44,0,39,61,0,236.343
ENSG00000103363,22,0,27,24,0,236.203
ENSG00000188488,12,0,38,29,0,235.695
ENSG00000181061,48,0,47,54,0,235.693
ENSG00000132840,67,0,52,82,0,234.816
ENSG00000142507,12,0,21,12,0,234.791
ENSG00000143418,71,0,61,98,0,234.64
ENSG00000135940,22,0,25,26,0,233.693
ENSG00000008394,41,0,50,72,0,233.567
ENSG00000165678,24,0,23,21,0,233.565
ENSG00000161960,30,0,36,49,0,233.489
ENSG00000110651,53,0,50,73,0,231.601
ENSG00000123561,31,0,49,25,0,230.666
ENSG00000115541,55,0,56,58,0,229.565
ENSG00000176974,35,0,37,62,0,229.364
ENSG00000154723,52,0,37,41,0,227.859
ENSG00000117289,82,0,75,91,0,227.655
ENSG00000249209,15,0,19,22,0,226.68
ENSG00000105583,33,0,40,30,0,226.656
ENSG00000254772,48,0,28,58,0,225.693
ENSG00000070756,50,0,49,66,0,225.084
ENSG00000063854,64,0,72,83,0,224.15
ENSG00000106853,68,0,61,90,0,223.778
ENSG00000162882,74,0,77,92,0,223.373
ENSG00000142748,6,0,14,34,0,222.944
ENSG00000170439,15,0,23,20,0,222.939
ENSG00000258674,14,3,23,13,0,222.079
ENSG00000140990,25,0,31,33,0,221.164
ENSG00000042753,29,0,14,65,0,220.49
ENSG00000174886,26,0,31,27,0,220.447
ENSG00000196502,0,0,7,0,0,218.476
ENSG00000256632,8,0,29,31,0,217.452
ENSG00000155368,29,0,38,35,0,217.346
ENSG00000165672,17,0,17,26,0,217.21
ENSG00000115457,38,0,50,40,0,216.521
ENSG00000137106,75,0,50,84,0,215.809
ENSG00000204370,18,0,26,12,0,215.765
ENSG00000114786,27,0,29,55,0,214.918
ENSG00000164919,26,0,27,14,0,214.502
ENSG00000135069,31,0,37,66,0,212.869
ENSG00000148702,32,0,34,89,0,212.793
ENSG00000176894,8,0,30,32,0,212.32
ENSG00000066813,17,0,35,23,0,212.288
ENSG00000178719,38,0,36,53,0,211.948
ENSG00000007933,50,0,61,69,0,211.762
ENSG00000111669,26,0,26,47,0,211.736
ENSG00000127948,0,0,0,0,0,211.529
ENSG00000133872,48,0,31,40,0,211.21
ENSG00000178980,25,0,19,48,0,210.881
ENSG00000125166,54,0,43,55,0,209.901
ENSG00000004799,62,0,60,61,0,209.055
ENSG00000101474,66,0,62,62,0,207.576
ENSG00000116133,48,0,64,70,0,207.19
ENSG00000198189,43,0,53,46,0,206.891
ENSG00000146066,22,0,27,21,0,206.461
ENSG00000123144,33,0,45,35,0,205.579
ENSG00000214736,17,0,24,22,0,205.486
ENSG00000132475,40,0,22,49,0,205.173
ENSG00000145741,36,0,30,21,0,204.548
ENSG00000151552,33,0,31,58,0,203.507
ENSG00000129562,22,0,23,26,9,203.037
ENSG00000198546,19,0,26,44,0,202.952
ENSG00000065978,27,0,33,28,0,202.851
ENSG00000241399,36,0,49,59,0,202.089
ENSG00000204628,44,0,51,57,0,201.561
ENSG00000129226,38,0,52,89,0,201.182
ENSG00000187514,63,0,64,65,0,200.711
ENSG00000069535,37,0,41,52,0,200.092
ENSG00000120129,98,0,59,100,0,199.927
ENSG00000140319,39,0,27,39,0,199.595
ENSG00000143742,30,0,27,19,0,199.059
ENSG00000112695,3,0,0,0,0,198.728
ENSG00000244734,0,0,0,0,19,198.61
ENSG00000136305,58,0,49,100,0,198.503
ENSG00000229833,19,0,26,14,0,198.311
ENSG00000084754,42,0,47,56,0,197.612
ENSG00000128272,43,0,42,42,0,197.22
ENSG00000122862,59,0,41,68,0,196.155
ENSG00000206172,0,0,0,0,36,194.667
ENSG00000099860,42,0,49,64,0,194.105
ENSG00000176046,31,0,26,85,0,193.23
ENSG00000108654,49,0,48,47,0,191.688
ENSG00000168994,59,0,50,72,0,191.048
ENSG00000162482,40,6,29,52,0,190.14
ENSG00000167815,21,0,28,27,0,189.94
ENSG00000198077,6,0,0,34,0,189.12
ENSG00000164713,18,0,25,34,0,188.8
ENSG00000116171,50,0,50,68,0,188.562
ENSG00000091483,49,0,41,47,0,187.7
ENSG00000138449,36,0,41,43,0,187.412
ENSG00000092010,36,0,30,46,0,186.854
ENSG00000112299,57,0,32,76,0,186.614
ENSG00000167774,28,0,30,39,0,185.774
ENSG00000143384,63,0,61,66,0,185.422
ENSG00000243678,23,0,23,21,0,185.394
ENSG00000178982,21,0,27,21,0,185.347
ENSG00000114942,34,0,36,32,0,185.255
ENSG00000106804,78,0,56,71,0,183.718
ENSG00000172425,56,0,51,92,0,183.54
ENSG00000086696,50,0,51,69,0,183.335
ENSG00000125743,29,0,28,23,0,183.097
ENSG00000143543,28,0,24,28,0,182.973
ENSG00000067560,38,0,39,43,0,182.509
ENSG00000189043,27,0,29,22,0,182.332
ENSG00000101182,47,0,44,69,0,181.372
