gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value
ENSG00000018408,0,0,0,0,0,7.292
ENSG00000018510,25,0,24,39,0,8.73
ENSG00000018610,4,0,11,8,0,8.604
ENSG00000018625,0,0,0,0,0,0.628
ENSG00000018699,16,0,15,11,0,4.609
ENSG00000018869,11,50,79,10,0,1.028
ENSG00000019102,0,0,0,14,11,1.316
ENSG00000019144,27,0,22,74,3,1.231
ENSG00000019169,0,0,5,0,0,147.845
ENSG00000019186,0,0,0,0,26,0.014
ENSG00000019485,0,0,0,14,9,0.334
ENSG00000019505,0,0,0,0,27,0.292
ENSG00000019549,39,0,38,42,0,6.921
ENSG00000019582,41,0,34,47,0,621.184
ENSG00000019991,7,0,5,52,0,6.529
ENSG00000019995,0,0,0,41,0,17.552
ENSG00000020129,24,0,24,34,0,2.184
ENSG00000020181,0,0,0,52,0,3.351
ENSG00000020256,0,0,0,0,0,1.58
ENSG00000020426,11,0,16,7,0,5.963
ENSG00000020577,58,0,53,67,0,2.563
ENSG00000020633,0,0,0,16,0,2.659
ENSG00000020922,26,0,24,15,0,1.731
ENSG00000021300,0,0,0,6,0,1.396
ENSG00000021355,20,0,25,45,0,25.148
ENSG00000021461,45,0,59,98,0,32.456
ENSG00000021488,6,4,7,17,0,19.81
ENSG00000021574,21,0,32,27,0,3.686
ENSG00000021645,0,0,0,0,0,0.041
ENSG00000021762,0,0,3,38,6,1.149
ENSG00000021776,16,0,20,12,0,2.524
ENSG00000021826,14,0,12,8,0,587.618
ENSG00000021852,81,0,86,98,0,621.243
ENSG00000022267,0,0,19,23,12,19.538
ENSG00000022277,16,0,15,19,0,33.148
ENSG00000022355,0,0,0,0,15,0.044
ENSG00000022556,0,0,0,0,0,0.209
ENSG00000022567,8,12,11,0,21,0.315
ENSG00000022840,63,0,59,68,0,25.416
ENSG00000022976,56,0,42,49,0,2.869
ENSG00000023041,31,0,29,17,0,25.978
