/group/pmc021/amunif/epi-thesis/workflow/09_Learning_to_Rank/output/autoencoder/all_features/model/dol1l2-autoencoder-linear-0.2-checkpoint-1000000-100-64-0.005-0.001.pt
Using device: cuda
Current CUDA device: 0
CUDA device name: Tesla V100-PCIE-32GB
Epoch [43/100] - [TRAIN] Loss: 0.5764, Accuracy: 71.12%, AUC: 0.71 [VAL] Loss: 0.5860, Accuracy: 70.19%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [44/100] - [TRAIN] Loss: 0.5771, Accuracy: 71.12%, AUC: 0.71 [VAL] Loss: 0.5884, Accuracy: 70.24%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [45/100] - [TRAIN] Loss: 0.5766, Accuracy: 71.19%, AUC: 0.71 [VAL] Loss: 0.5855, Accuracy: 70.54%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [46/100] - [TRAIN] Loss: 0.5756, Accuracy: 71.20%, AUC: 0.71 [VAL] Loss: 0.5843, Accuracy: 70.58%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [47/100] - [TRAIN] Loss: 0.5756, Accuracy: 71.26%, AUC: 0.71 [VAL] Loss: 0.5857, Accuracy: 70.37%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [48/100] - [TRAIN] Loss: 0.5767, Accuracy: 71.08%, AUC: 0.71 [VAL] Loss: 0.5846, Accuracy: 70.52%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [49/100] - [TRAIN] Loss: 0.5755, Accuracy: 71.24%, AUC: 0.71 [VAL] Loss: 0.5846, Accuracy: 70.52%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [50/100] - [TRAIN] Loss: 0.5759, Accuracy: 71.24%, AUC: 0.71 [VAL] Loss: 0.5858, Accuracy: 70.49%, Precision: 0.71, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
Epoch [51/100] - [TRAIN] Loss: 0.5755, Accuracy: 71.22%, AUC: 0.71 [VAL] Loss: 0.5863, Accuracy: 70.28%, Precision: 0.71, Recall: 0.63, F1-Score: 0.67, AUC: 0.70
Epoch [52/100] - [TRAIN] Loss: 0.5764, Accuracy: 71.15%, AUC: 0.71 [VAL] Loss: 0.5879, Accuracy: 70.21%, Precision: 0.70, Recall: 0.64, F1-Score: 0.67, AUC: 0.70
