model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
SVM_Linear,123,H3K4me3-H3K27ac,,74.1,0.8135,73.2,0.8032,0.7858,0.7424,0.6972,0.7191,0.785
DirectRanker,42,H3K4me3-H3K27ac,40,74.8,0.84,76.2,0.8548,0.8488,0.7271,0.8087,0.7657,0.93
LogisticRegression,42,H3K4me3-H3K27ac,,74.7,0.8158,74.7,0.8198,0.8008,0.7478,0.7152,0.7311,0.766
RandomForest,42,H3K4me3-H3K27ac,,76.7,0.8496,77.7,0.8608,0.8462,0.7792,0.7484,0.7635,0.843
SVM_Linear,42,H3K4me3-H3K27ac,,75.2,0.8138,74.1,0.8167,0.7966,0.7413,0.7089,0.7248,0.759
DirectRanker,456,H3K4me3-H3K27ac,62,76.6,0.85,74.0,0.8196,0.8079,0.719,0.7634,0.7405,0.926
LogisticRegression,456,H3K4me3-H3K27ac,,75.1,0.8176,72.5,0.7903,0.7792,0.7371,0.6749,0.7046,0.809
RandomForest,456,H3K4me3-H3K27ac,,78.2,0.8662,76.3,0.8341,0.8152,0.7849,0.7058,0.7432,0.832
SVM_Linear,456,H3K4me3-H3K27ac,,75.3,0.8188,72.9,0.79,0.7816,0.7416,0.679,0.7089,0.809
DirectRanker,789,H3K4me3-H3K27ac,78,73.4,0.81,75.8,0.8428,0.8308,0.7412,0.7972,0.7682,0.922
LogisticRegression,789,H3K4me3-H3K27ac,,72.6,0.7922,74.3,0.8179,0.8006,0.7887,0.668,0.7234,0.787
RandomForest,789,H3K4me3-H3K27ac,,74.4,0.8176,76.8,0.8551,0.8473,0.8087,0.7058,0.7537,0.829
SVM_Linear,789,H3K4me3-H3K27ac,,72.3,0.7935,74.1,0.8171,0.8009,0.7919,0.6581,0.7188,0.781
DirectRanker,1011,H3K4me3-H3K27me3,95,71.8,0.79,72.7,0.823,0.8168,0.7189,0.749,0.7337,0.938
LogisticRegression,1011,H3K4me3-H3K27me3,,69.4,0.7531,69.1,0.7763,0.779,0.7169,0.6355,0.6737,0.805
RandomForest,1011,H3K4me3-H3K27me3,,70.4,0.7727,71.8,0.808,0.8021,0.75,0.6574,0.7006,0.784
SVM_Linear,1011,H3K4me3-H3K27me3,,69.6,0.7548,69.2,0.7779,0.7797,0.7205,0.6315,0.673,0.797
DirectRanker,123,H3K4me3-H3K27me3,81,76.6,0.84,71.8,0.8076,0.7861,0.6981,0.752,0.7241,0.947
LogisticRegression,123,H3K4me3-H3K27me3,,72.9,0.8016,69.9,0.7742,0.7518,0.7011,0.6768,0.6887,0.799
RandomForest,123,H3K4me3-H3K27me3,,75.6,0.8324,72.6,0.8045,0.7848,0.7339,0.6951,0.714,0.813
SVM_Linear,123,H3K4me3-H3K27me3,,73.1,0.8009,69.8,0.773,0.7501,0.7021,0.6707,0.6861,0.802
DirectRanker,42,H3K4me3-H3K27me3,100,74.6,0.84,74.4,0.8352,0.8251,0.7103,0.79,0.748,0.933
LogisticRegression,42,H3K4me3-H3K27me3,,73.5,0.7978,72.2,0.7868,0.7573,0.7192,0.6923,0.7055,0.792
RandomForest,42,H3K4me3-H3K27me3,,76.0,0.8263,74.3,0.8315,0.8082,0.7414,0.7152,0.728,0.815
SVM_Linear,42,H3K4me3-H3K27me3,,73.5,0.7959,71.9,0.7879,0.7596,0.7193,0.6819,0.7001,0.783
DirectRanker,456,H3K4me3-H3K27me3,100,75.3,0.84,70.8,0.8023,0.7892,0.6816,0.749,0.7137,0.94
LogisticRegression,456,H3K4me3-H3K27me3,,75.0,0.8165,68.6,0.7543,0.7454,0.6955,0.6296,0.6609,0.809
RandomForest,456,H3K4me3-H3K27me3,,76.1,0.8378,72.1,0.7934,0.7712,0.7265,0.6831,0.7041,0.802
SVM_Linear,456,H3K4me3-H3K27me3,,75.0,0.8154,68.3,0.7521,0.746,0.689,0.6337,0.6602,0.808
